,ISO2 Code,year,RAXGFX_USD,LUR_PT,TXG_FOB_USD,TMG_CIF_USD,FDSAOP_XDC,AIP_IX,ENDE_XDC_USD_RATE,FMB_XDC,FIMM_PA,EREER_IX,FILR_PA,FISR_PA,FDSF_XDC,FDSB_XDC,RAXG_USD,PCPI_IX,FASMB_XDC,PCTOT,NGDP_XDC,BGS_BP6_USD,BCAXF_BP6_USD,DSTKMKTXD,month,couprisk
73377,US,2012-08-01,50818.87361068,8.2,128583.019076,200151.79071600002,,,1.0,,0.13,98.0793118987035,3.25,,,,140460.13032124098,105.651542841157,,100.07601928710899,,,,125.43794765943,08,0.0003149202966596931
73378,US,2012-09-01,51553.9822013,7.6,128259.972496,190668.212658,,,1.0,,0.14,96.95388692264721,3.25,,,,142034.322940224,106.12298245171499,,100.08732604980499,,,,128.14627963011,09,0.00031049185781739647
73379,US,2012-10-01,51191.55313822,7.5,133718.21598,204091.04410199999,,,1.0,,0.16,96.6531505530282,3.25,,,,141187.25266064302,106.081708555849,,100.07119750976601,,-122762.0,-94256.0,127.78478280565,10,0.0003062144387513399
73380,US,2012-11-01,50589.85931259,7.4,130204.374852,199592.09027000002,,,1.0,,0.16,97.1474310807893,3.25,,,,140234.45918428,105.57908422397,,100.06589508056601,,,,123.16065924263,11,0.00019912730203941464
73381,US,2012-12-01,49922.38197398,7.6,130753.707654,181888.361801,,,1.0,,0.16,96.4944560000807,3.25,,,,139133.870857439,105.294752941338,,100.07853698730499,,,,125.52657035839,12,0.00023614519159309571
73382,US,2013-01-01,49708.00948918,8.5,123031.87906099999,190336.364444,,,1.0,,0.14,96.3301808203908,3.25,,,,140853.884899946,105.606141555705,,100.09628295898399,,-95646.0,-71396.0,130.02594741661,01,0.00019689519831445068
73383,US,2013-02-01,48395.856743000004,8.1,123443.633859,175000.3999,,,1.0,,0.15,97.1750818391338,3.25,,,,137796.320724883,106.47105897351801,,100.10828399658199,,,,133.38760565473,02,0.00020337305613793435
73384,US,2013-03-01,47544.108262,7.6,136642.157119,186582.539192,,,1.0,,0.14,97.7976676556572,3.25,,,,135287.629279235,106.749428471192,,100.09710693359399,,,,137.69395527507,03,0.0002042037231149152
73385,US,2013-04-01,47555.909111,7.1,129460.62083800002,195755.197828,,,1.0,,0.15,97.082778518159,3.25,,,,135753.58888181302,106.63844755119699,,100.07382202148399,,-124655.0,-96897.0,140.15451589121,04,0.00021251731959637252
73386,US,2013-05-01,46555.73736707,7.3,132968.704067,201902.66399600002,,,1.0,,0.11,97.2911803766623,3.25,,,,133000.648338796,106.82830747218,,100.085906982422,,,,144.89389334922,05,0.00021477880363818258
73387,US,2013-06-01,46920.17746359,7.8,134550.410192,189881.340502,,,1.0,,0.09,97.9982109871731,3.25,,,,134661.59610996698,107.084664225392,,100.079978942871,,,,143.59102934973,06,0.00021491762890946117
73388,US,2013-07-01,47688.35327029,7.7,127280.87219200001,202552.840944,,,1.0,,0.09,98.5104400047919,3.25,,,,136385.70002268802,107.126855318944,,100.06411743164101,,-133683.0,-105626.0,146.97608235186,07,0.00021828513126820326
73389,US,2013-08-01,47542.52136872,7.3,132584.00786500002,198190.73764500002,,,1.0,,0.08,98.27784623035629,3.25,,,,134714.399229939,107.25572159381399,,100.056182861328,,,,145.11514014718,08,0.0002209637314081192
73390,US,2013-09-01,48278.03849966,7.0,128377.55544000001,196941.769095,,,1.0,,0.08,98.00324395057942,3.25,,,,136705.806711916,107.38046047909799,,100.038627624512,,,,145.82654879053,09,0.000221169219003059
73391,US,2013-10-01,48457.99,7.0,142061.250573,210381.782897,,,1.0,,0.09,96.8410346319355,3.25,,,,136044.91508359302,107.103925376796,,100.030715942383,,-107150.0,-74884.0,146.01229864581,10,0.000222935457713902
73392,US,2013-11-01,47692.32347167,6.6,136200.329241,193576.803586,,,1.0,,0.08,97.45878144804729,3.25,,,,134070.795696707,106.885173728707,,100.027671813965,,,,151.56595760808,11,0.0002238956221845001
73393,US,2013-12-01,47599.42668356,6.5,131915.459503,187405.019739,,,1.0,,0.09,97.6439919646767,3.25,,,,133533.46407319998,106.876001751848,,100.039047241211,,,,153.7141928091,12,0.0002263053465867415
73394,US,2014-01-01,47523.48587742,7.0,126619.205952,191429.76322300002,,,1.0,,0.07,98.46317424858971,3.25,,,,133374.790901162,107.27360694868999,,100.026000976563,,-95657.0,-64449.0,155.12708837805,01,0.0002219156158389524
73395,US,2014-02-01,48237.11701184,7.0,123630.418125,175551.773571,,,1.0,,0.07,98.6679814971231,3.25,,,,134163.609765351,107.67029494784599,,100.048301696777,,,,152.40267988289,02,0.00022844984778203067
73396,US,2014-03-01,48029.79367765,6.8,142289.932238,200016.29293199998,,,1.0,,0.08,98.2758999732868,3.25,,,,133243.234650097,108.363696398394,,100.062255859375,,,,155.74693156239,03,0.00023386093380395323
73397,US,2014-04-01,48395.66337156,5.9,133990.050434,206709.76211500002,,,1.0,,0.09,97.8009575127581,3.25,,,,133236.465110313,108.720944897056,,100.066795349121,,-133906.0,-93654.0,156.61478296312,04,0.00023103220155462623
73398,US,2014-05-01,47977.19685142,6.1,138181.984632,206300.098751,,,1.0,,0.09,97.3871654467798,3.25,,,,133537.01784557902,109.100664739023,,100.05461120605499,,,,158.21681344698,05,0.0002322735235793516
73399,US,2014-06-01,48188.39709955,6.3,138482.447486,203723.239613,,,1.0,,0.1,97.5055951322857,3.25,,,,134135.126015138,109.303824026452,,100.042900085449,,,,160.85738061075,06,0.00023354787845164537
73400,US,2014-07-01,47285.06307669,6.5,133326.645853,210718.965577,,,1.0,,0.09,97.55705362989971,3.25,,,,131874.78477086598,109.261174334057,,100.008445739746,,-136568.0,-105263.0,162.23744060723,07,0.00023652240633964536
73401,US,2014-08-01,46557.08900949,6.3,137625.837418,202727.141706,,,1.0,,0.09,98.2021913836688,3.25,,,,130276.83443422,109.078651994561,,99.97991943359379,,,,160.20224800732,08,0.00023582446738146245
73402,US,2014-09-01,44506.44441141,5.7,133668.613617,209234.626677,,,1.0,,0.09,99.55312843006381,3.25,,,,126012.621010896,109.16074118745001,,99.9282760620117,,,,163.28662509212,09,0.0002379857178311795
73403,US,2014-10-01,43935.470931699994,5.5,145613.923496,217444.91412899998,,,1.0,,0.09,100.772191517533,3.25,,,,125243.509619536,108.886499079363,,99.8906402587891,,-123450.0,-101827.0,159.50238930785,10,0.0002400342491455376
73404,US,2014-11-01,42818.45974729,5.5,134722.680199,195948.428445,,,1.0,,0.09,102.041539051916,3.25,,,,122599.606390959,108.298575362694,,99.8813705444336,,,,168.54723368233,11,0.00024117968860082328
73405,US,2014-12-01,41943.50091001,5.4,133722.05346,201525.156006,,,1.0,,0.12,103.779419685771,3.25,,,,119048.483711245,107.684511511977,,99.8283538818359,,,,169.55249317158,12,0.00024227003450505435
73406,US,2015-01-01,40503.75964468,6.1,120872.35663099999,186711.580672,,,1.0,,0.11,105.477791042957,3.25,,,,115561.969637645,107.17775979051201,,99.7575454711914,,-102731.0,-79252.0,167.5280380885,01,0.0002820744994096458
73407,US,2015-02-01,40005.16873942,5.8,118233.72939000001,167999.882049,,,1.0,,0.11,106.897760103913,3.25,,,,113676.38358236199,107.643237616111,,99.78109741210942,,,,171.37817701797,02,0.0002867522125598043
73408,US,2015-03-01,38986.49434664,5.6,133668.76329200002,204511.84895699998,,,1.0,,0.11,108.935008474213,3.25,,,,108228.54472841401,108.28390019972,,99.75830078125,,,,171.24765655005,03,0.00028690526960417634
73409,US,2015-04-01,39923.79898317,5.1,128499.64718399999,195849.136924,,,1.0,,0.12,108.155773437895,3.25,,,,110249.03173101199,108.504027644338,,99.7638473510742,,-131078.0,-105873.0,171.61789303465,04,0.00029037296189926565
73410,US,2015-05-01,39045.0791039,5.3,128206.27615,192176.938589,,,1.0,,0.12,107.26365468002301,3.25,,,,108494.12684259699,109.05709784894199,,99.78814697265629,,,,173.09049548118,05,0.0002850863093044609
73411,US,2015-06-01,39631.03053725,5.5,130976.339814,203017.097369,,,1.0,,0.13,108.104166615967,3.25,,,,109291.59555829699,109.43911068512399,,99.77649688720699,,,,171.2044342465,06,0.000289068091660738
73412,US,2015-07-01,39133.63817186,5.6,124242.885351,199447.426825,,,1.0,,0.13,109.811884976386,3.25,,,,108276.90692499801,109.446448266611,,99.7557144165039,,-138399.0,-122519.0,169.94190628867,07,0.00028992266743443906
73413,US,2015-08-01,39833.29641183,5.2,122758.87976199998,195635.35521900002,,,1.0,,0.14,111.733184660011,3.25,,,,109858.07454539301,109.29144185769199,,99.6950149536133,,,,162.93773279417,08,0.00029320950852707034
73414,US,2015-09-01,39953.90313605,4.9,124915.07991700001,197277.401015,,,1.0,,0.125,112.59479799360001,3.25,,,,109176.888023436,109.121301686956,,99.68511962890629,,,,156.04605941279,09,0.00029860311769880354
73415,US,2015-10-01,39580.71965965,4.8,130301.584104,200785.381922,,,1.0,,0.125,111.74226720118799,3.25,,,,108225.676443151,109.07223161076,,99.6840057373047,,-126324.0,-100125.0,164.09030874496,10,0.0002945488668046892
73416,US,2015-11-01,38219.23468925,4.8,120541.147016,187386.712383,,,1.0,,0.12,113.39903395370101,3.25,,,,105599.427903891,108.84201499159599,,99.6362991333008,,,,169.26148686927,11,0.0002954129595309496
73417,US,2015-12-01,39242.34926515,4.8,120111.66113499999,185090.455403,,,1.0,,0.24,114.22931234398199,3.37,,,,106539.63576633301,108.47009132996,,99.6101226806641,,,,167.5337680715,12,0.00029306267970241606
73418,US,2016-01-01,39085.62585315,5.3,107932.046822,171023.358867,,,1.0,,0.34,116.49960452303199,3.5,,,,106147.292068394,108.64940347755501,,99.5745849609375,,-104578.0,-91108.0,155.71469550142,01,0.00026350628468208015
73419,US,2016-02-01,40279.29832215,5.2,113401.82555899999,173242.164445,,,1.0,,0.38,115.18131679602199,3.5,,,,106177.180000116,108.738830251931,,99.5967636108398,,,,155.66356872288,02,0.00025523838121443987
73420,US,2016-03-01,41490.15422323,5.1,125480.159475,183554.571199,,,1.0,,0.36,112.954666527837,3.5,,,,108685.640918336,109.207059670588,,99.6650543212891,,,,165.23497268893,03,0.00025496297166682785
